Name,Category,Request Priority,Request Type,Location,User Group,Start Date,End Date,Total Number of Requests,Total Similar Requests
Window Lock,Windows,Low,Repair,Block 25,Teacher,2023-02-16,2023-02-23,41,36
Socket,Electrical,High,Repair,Block 30,Admin Staff,2023-09-12,2023-09-14,96,79
Socket,Electrical,Medium,Replacement,Block 2,Teacher,2021-05-26,2021-06-02,96,93
Florescent Light bulb,Lighting,High,Replacement,Block 29,Student,2020-01-11,2020-01-18,63,42
Florescent Light bulb,Lighting,Low,Repair,Block 24,Teacher,2019-03-03,2019-03-09,64,33
Bed Chipwood,Furniture,Medium,Repair,Block 14,Student,2023-11-28,2023-12-12,69,50
Pipe,Plumbing,Low,Repair,Block 12,Other Servers,2022-01-22,2022-02-03,33,25
Bed Frame,Furniture,High,Replacement,Block 15,Student,2019-07-22,2019-08-05,67,49
RAM,Computers,Medium,Repair,Block 1,Admin Staff,2020-03-29,2020-04-02,63,48
Window Glass,Windows,High,Repair,Block 49,Teacher,2020-11-29,2020-12-05,37,21
Florescent Light bulb,Lighting,High,Repair,Block 35,Teacher,2023-04-11,2023-04-12,74,57
Florescent Light bulb,Lighting,High,Repair,Block 37,Student,2019-07-19,2019-07-24,64,61
Hard drive,Computers,High,Repair,Block 30,Teacher,2021-06-10,2021-06-14,61,53
Window Glass,Windows,Low,Replacement,Block 20,Student,2019-02-07,2019-02-20,56,37
Toilet seat,Plumbing,High,Repair,Block 7,Other Servers,2019-11-20,2019-11-28,40,22
CPU,Computers,Medium,Repair,Block 8,Teacher,2020-07-10,2020-07-17,70,66
Window Glass,Windows,Low,Replacement,Block 18,Teacher,2021-05-09,2021-05-21,44,34
Keyboard,Computers,Low,Repair,Block 12,Admin Staff,2023-11-11,2023-11-18,55,31
Bed Frame,Furniture,Low,Repair,Block 20,Teacher,2019-01-02,2019-01-10,59,41
Bed Mattress,Furniture,High,Repair,Block 8,Student,2021-07-03,2021-07-15,66,59
Socket,Electrical,Low,Replacement,Block 40,Admin Staff,2019-12-27,2020-01-08,97,81
Locker Cylinder,Furniture,Low,Replacement,Block 26,Admin Staff,2020-01-31,2020-02-13,55,40
Door Cylinder,Doors,Low,Replacement,Block 7,Teacher,2019-08-26,2019-09-08,14,14
CPU,Computers,Medium,Replacement,Block 19,Teacher,2019-06-02,2019-06-13,72,61
Battery,Computers,Medium,Repair,Block 10,Admin Staff,2020-08-24,2020-08-28,55,49
Door Cylinder,Doors,Low,Repair,Block 13,Admin Staff,2019-02-08,2019-02-16,19,13
Window Lock,Windows,High,Repair,Block 47,Teacher,2022-08-04,2022-08-07,53,48
Keyboard,Computers,Medium,Replacement,Block 27,Teacher,2021-05-27,2021-06-03,57,52
Keyboard,Computers,Low,Repair,Block 1,Admin Staff,2020-12-24,2020-12-30,65,49
Window Lock,Windows,High,Replacement,Block 34,Teacher,2022-08-01,2022-08-09,46,38
Window Lock,Windows,Medium,Replacement,Block 22,Student,2019-07-08,2019-07-18,54,28
Florescent Light bulb,Lighting,High,Replacement,Block 13,Admin Staff,2021-10-04,2021-10-09,56,33
Bed Frame,Furniture,Medium,Replacement,Block 49,Admin Staff,2020-11-23,2020-12-02,63,58
Florescent Light bulb,Lighting,Low,Replacement,Block 48,Teacher,2019-10-03,2019-10-12,63,37
Battery,Computers,High,Replacement,Block 19,Teacher,2023-11-09,2023-11-14,63,59
Fuse,Electrical,Low,Replacement,Block 37,Admin Staff,2023-11-05,2023-11-13,97,77
Mouse,Computers,Medium,Replacement,Block 18,Teacher,2020-08-25,2020-08-29,67,43
Locker Handle,Furniture,Medium,Repair,Block 3,Admin Staff,2020-06-25,2020-07-01,58,47
Florescent Light bulb,Lighting,High,Replacement,Block 21,Student,2020-06-28,2020-07-03,57,47
Florescent Light bulb,Lighting,High,Repair,Block 15,Teacher,2022-05-02,2022-05-02,60,35
Florescent Light bulb,Lighting,High,Replacement,Block 48,Admin Staff,2019-01-15,2019-01-20,63,51
Fuse,Electrical,Low,Repair,Block 8,Student,2023-06-05,2023-06-15,82,81
Valve,Plumbing,Low,Repair,Block 26,Other Servers,2023-04-08,2023-04-21,33,19
Window Lock,Windows,High,Replacement,Block 39,Admin Staff,2023-05-03,2023-05-10,39,35
Window Lock,Windows,High,Repair,Block 31,Student,2022-07-13,2022-07-19,47,45
Florescent Light bulb,Lighting,Medium,Replacement,Block 22,Teacher,2021-05-13,2021-05-19,68,63
Door Handle,Doors,Low,Repair,Block 19,Admin Staff,2020-07-21,2020-07-29,17,11
Valve,Plumbing,High,Replacement,Block 33,Other Servers,2021-11-18,2021-11-30,29,17
CPU,Computers,High,Repair,Block 9,Admin Staff,2023-01-06,2023-01-11,71,66
Florescent Light bulb,Lighting,High,Repair,Block 47,Admin Staff,2022-05-06,2022-05-06,68,38
CPU,Computers,High,Repair,Block 36,Admin Staff,2019-08-28,2019-09-03,58,43
Florescent Light bulb,Lighting,High,Replacement,Block 16,Teacher,2020-12-07,2020-12-09,58,53
Mouse,Computers,High,Repair,Block 48,Admin Staff,2020-05-25,2020-05-25,60,53
Florescent Light bulb,Lighting,Low,Replacement,Block 49,Student,2021-05-18,2021-05-28,64,47
Florescent Light bulb,Lighting,High,Repair,Block 46,Admin Staff,2020-08-20,2020-08-20,62,41
Door Handle,Doors,Medium,Replacement,Block 48,Student,2021-06-27,2021-07-07,23,14
Hard drive,Computers,Low,Replacement,Block 25,Teacher,2022-09-10,2022-09-20,53,37
Florescent Light bulb,Lighting,Low,Repair,Block 2,Student,2021-04-15,2021-04-22,65,54
Socket,Electrical,Low,Replacement,Block 36,Admin Staff,2020-06-19,2020-06-30,82,49
Door Handle,Doors,Low,Repair,Block 7,Student,2020-06-07,2020-06-17,21,12
Bed Chipwood,Furniture,High,Replacement,Block 43,Teacher,2020-03-15,2020-03-26,64,44
Monitor,Computers,Low,Repair,Block 11,Teacher,2023-12-23,2024-01-01,58,44
Fuse,Electrical,Medium,Replacement,Block 25,Teacher,2020-09-03,2020-09-10,82,54
RAM,Computers,Low,Replacement,Block 36,Teacher,2022-12-05,2022-12-16,58,36
Florescent Light bulb,Lighting,High,Repair,Block 4,Student,2023-12-29,2024-01-02,68,56
Bed Chipwood,Furniture,Medium,Replacement,Block 1,Teacher,2022-12-25,2023-01-06,56,31
Florescent Light bulb,Lighting,Medium,Repair,Block 14,Teacher,2021-01-26,2021-01-28,56,36
